Adanto Vanguard
Adarkar Wastes
Aspect of Hydra
Atarka's Command
Baleful Strix
Banishing Light
"Baral, Chief of Compliance"
Battlefield Forge
Benalish Marshal
Birds of Paradise
Blood Artist
Bloodchief's Thirst
Blossoming Defense
Bomat Courier
Bonecrusher Giant // Stomp
Boros Charm
Brainstorm
Brazen Borrower // Petty Theft
Brushland
Burning-Tree Emissary
Carnophage
Cast Down
Caves of Koilos
Chain Lightning
Chandra's Phoenix
Charming Prince
Choked Estuary
Clifftop Retreat
Consider
Council's Judgment
Counterspell
Cut Down
Dark Confidant
Dauntless Bodyguard
Dauthi Slayer
Deathrite Shaman
Dimir Signet
Dismember
Doom Blade
Dragon's Rage Channeler
Dragonskull Summit
Dread Wanderer
Drowned Catacomb
Dryad Militant
Elite Spellbinder
Elvish Archers
Elvish Mystic
Eternal Witness
Faerie Seer
Fanatical Firebrand
Fatal Push
Fire // Ice
Fireblast
Flickerwisp
Flinthoof Boar
Frostboil Snarl
Fulminator Mage
Furycalm Snarl
Ghitu Lavarunner
Glacial Fortress
Goblin Bushwhacker
Goblin Guide
Gravecrawler
Groundbreaker
Gut Shot
Gutterbones
Guttersnipe
Hinterland Harbor
Hypnotic Specter
Isolated Chapel
Judge's Familiar
Karametra's Blessing
Karplusan Forest
Kiln Fiend
Kolaghan's Command
Lightning Bolt
Lightning Helix
Llanowar Elves
Llanowar Wastes
Lotus Petal
Mana Leak
Manamorphose
Marrow Shards
Masked Vandal
Mentor of the Meek
Midnight Reaper
Mind Stone
Monastery Swiftspear
Moon-Circuit Hacker
Mother of Runes
Murderous Rider // Swift End
Mutagenic Growth
Necroblossom Snarl
Ninja of the Deep Hours
Opt
Order of Midnight // Alter Fate
Plaguecrafter
Preordain
Priest of Forgotten Gods
Ram Through
Reclamation Sage
Rootbound Crag
Satyr Wayfinder
Savannah Lions
Seasoned Hallowblade
Serendib Efreet
Shineshadow Snarl
Shivan Reef
Sign in Blood
Slickshot Show-Off
Snapcaster Mage
Spectral Sailor
Spell Pierce
Spellstutter Sprite
Spirebluff Canal
Steel Leaf Champion
Stormcarved Coast
Sulfur Falls
Sulfuric Vortex
Sulfurous Springs
Sunpetal Grove
Swords to Plowshares
"Thalia, Guardian of Thraben"
Titan's Strength
Tyrant's Scorn
Underground River
Unearth
Vault Skirge
Viashino Pyromancer
Vineglimmer Snarl
Vines of Vastwood
Wear // Tear
Woodland Cemetery
Wrath of God
Yavimaya Coast
